variant,mu,binagg_relmse_mean,binagg_relmse_std,ols_relmse
paper_faithful,0.5,0.5091581929570381,0.03154276493209564,0.44125860308425474
paper_faithful,1.0,0.4497582960668883,0.005655469501419807,0.44125860308425474
paper_faithful,2.0,0.4431795142764774,0.0006890652731203452,0.44125860308425474
paper_faithful,5.0,0.44392346866295085,0.0005944269266101865,0.44125860308425474
clean,0.5,0.0765757063667263,0.032705451493241965,0.0275073294128654
clean,1.0,0.048151666723390295,0.009124405634446631,0.0275073294128654
clean,2.0,0.035971914741311936,0.002782247507898109,0.0275073294128654
clean,5.0,0.031960075703595936,0.0011408602205218881,0.0275073294128654
