mu,coverage_dp,coverage_naive,abs_bias_dp,abs_bias_naive,ci_width_dp,n_valid
0.5,0.9166666666666666,0.07666666666666666,0.0638151520225122,0.06550534786562347,0.5184444864201448,300
1.0,0.931111111111111,0.14888888888888888,0.031632503806210896,0.03223104739567685,0.29055135287747125,300
2.0,0.9344444444444445,0.22666666666666668,0.01902479778174804,0.019244996850644455,0.1813307949674554,300
5.0,0.9177777777777778,0.31777777777777777,0.011891290138959934,0.011951457639200377,0.10301896398127142,300
